MSSubClass,MSZoning,Neighborhood,OverallQual,YearRemodAdd,RoofStyle,BsmtQual,BsmtExposure,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,SaleCondition
0.2352941176470588,0.75,0.6363636363636364,0.6666666666666665,0.0983606557377049,0.0,0.75,0.25,1.0,0.4004669263078391,0.6247954313081205,0.3333333333333333,0.6666666666666666,0.0,0.2,0.8,0.6666666666666666,0.5,0.75
0.0,0.75,0.5,0.5555555555555556,0.5245901639344263,0.0,0.75,1.0,1.0,0.5495994518979863,0.5196839137233296,0.0,0.3333333333333333,0.3333333333333333,0.6000000000000001,0.8,0.6666666666666666,0.5,0.75
0.2352941176470588,0.75,0.6363636363636364,0.6666666666666665,0.1147540983606557,0.0,0.75,0.5,1.0,0.4288054564031398,0.6394890206114647,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6000000000000001,0.8,0.6666666666666666,0.5,0.75
0.2941176470588235,0.75,0.7272727272727273,0.6666666666666665,0.6065573770491803,0.0,0.5,0.25,1.0,0.4457968089077306,0.6261794695100242,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.4,0.3333333333333333,0.75,0.0
0.2352941176470588,0.75,1.0,0.7777777777777777,0.1475409836065573,0.0,0.75,0.75,1.0,0.5129967903748609,0.7084709333338486,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6000000000000001,0.8,0.6666666666666666,0.75,0.75
0.1764705882352941,0.75,0.4090909090909091,0.4444444444444445,0.2459016393442623,0.0,0.75,0.25,1.0,0.3715973367840348,0.5464827268710097,0.3333333333333333,0.3333333333333333,0.0,0.2,0.8,0.3333333333333333,0.5,0.75
0.0,0.75,0.8181818181818182,0.7777777777777777,0.0491803278688524,0.0,1.0,0.75,1.0,0.6573903983684097,0.6216076342296759,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.8,0.6666666666666666,0.5,0.75
0.2352941176470588,0.75,0.5454545454545454,0.6666666666666665,0.6065573770491803,0.0,0.75,0.5,1.0,0.5001810970434288,0.6918993393978932,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6000000000000001,0.8,0.6666666666666666,0.5,0.75
0.1764705882352941,0.25,0.1818181818181818,0.6666666666666665,0.9672131147540984,0.0,0.5,0.25,1.0,0.4695973854503528,0.6372166371083399,0.0,0.3333333333333333,0.6666666666666666,0.6000000000000001,0.4,0.3333333333333333,0.5,0.0
1.0,0.75,0.1363636363636363,0.4444444444444445,0.9672131147540984,0.0,0.5,0.25,1.0,0.489703115413401,0.4630478263791655,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6000000000000001,0.8,0.6666666666666666,0.25,0.75
